id,Country,Location
EBOV-20141397-KR653288-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20141429-KR653260-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-20141491-KR653289-SLE-Kambia,Sierra Leone,Kambia - Sierra Leone
EBOV-20141497-KR653273-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20141582-KR653230-SLE-Bo,Sierra Leone,Bo - Sierra Leone
EBOV-20141643-KR653233-SLE-Pujehun,Sierra Leone,Pujehun - Sierra Leone
EBOV-20141650-KR653225-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-20141960-KR653283-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20141997-KR653293-SLE-Kono,Sierra Leone,Kono - Sierra Leone
EBOV-20142065-KR653274-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-20142127-KR653234-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20142260-KR653262-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20142407-KR653249-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20142417-KR653254-SLE-Bo,Sierra Leone,Bo - Sierra Leone
EBOV-20142477-KR653255-SLE-Moyamba,Sierra Leone,Moyamba - Sierra Leone
EBOV-20142551-KR653226-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20142843-KR653301-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20142856-KR653302-SLE-Tonkolili,Sierra Leone,Tonkolili - Sierra Leone
EBOV-20142895-KR653268-SLE-Koinadugu,Sierra Leone,Koinadugu - Sierra Leone
EBOV-20143018-KR653272-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-20143031-KR653275-SLE-WesternUrban,Sierra Leone,WesternUrban - Sierra Leone
EBOV-20143036-KR653285-SLE-PortLoko,Sierra Leone,PortLoko - Sierra Leone
EBOV-20143107-KR653247-SLE-Bombali,Sierra Leone,Bombali - Sierra Leone
EBOV-20143164-KR653277-SLE-Kenema,Sierra Leone,Kenema - Sierra Leone
EBOV-20143187-KR653298-SLE-Pujehun,Sierra Leone,Pujehun - Sierra Leone
